"ruc";"nombre";"address";"contact_phone";"responsable";"email";"created_by_emp";"created_at";"updated_by_emp";"updated_at"
"20539739060";"CENTRO MEDICO HORIZONTE MEDIC";"LEONCIO PRADO 786  LA LIBERTAD - HUAMACHUCO";"";"";"";"1";"2025-05-15 00:46:44";"1";"2025-05-15 00:46:44"
"20503980216";"ADECCO CONSULTING S.A.";"CAL. AMADOR MERINO REYNA NRO. 285 DPTO. 301 LIMA - SAN ISIDRO";"01-6116666 / 9975355761";"";"";"1";"2025-05-15 00:46:44";"1";"2025-05-15 00:46:44"
"20509059773";"SAN SIMON EQUIPOS S.A.";"AV. SEPARADORA INDUSTRIAL NRO. 821 URB. MIGUEL GRAU LIMA - LIMA - ATE";"6180200";"LEODITH URETA";"";"1";"2025-05-15 00:46:44";"1";"2025-05-15 00:46:44"
"20481074437";"SERVICIOS GENERALES SMITH E.I.R.L";"JR. ESTETE 498 - HUAMACHUCO";"044-440316";"EULOGIA OLIVA PAREDES";"";"1";"2025-05-15 00:46:44";"1";"2025-05-15 00:46:44"
"20477709801";"IMPORT.SERVICE JR TORRES E.I.R.L.";"LAS TURQUEZAS 590 URB. STA. INES TRUJILLO";"978724613";"JULIO TORRES RIOS";"IMPORT_JR@HOTMAIL.COM";"1";"2025-05-15 00:46:44";"1";"2025-05-15 00:46:44"
"20539818288";"CORPSAN S.A.C.";"JR. SAN ROMAN 270 - HUAMACHUCO";"#9900207126";"GUILLERMO GUTIERREZ LEZAMA";"CORPSAN_2012@HOTMAIL.COM";"1";"2025-05-15 00:46:44";"1";"2025-05-15 00:46:44"
"20100134706";"SANDVIK DEL PERU S.A.";"AV. DEFENSORES DEL MORRO Nº1632 - LIMA - CHORRILLO";"01-2133300";"";"";"1";"2025-05-15 00:46:44";"1";"2025-05-15 00:46:44"
"20527868271";"FERREPRES SRL";"AV. LOS RUISEÑORES NRO. 465 DPTO. 102  SANTA ANITA - LIMA";"";"";"";"1";"2025-05-15 00:46:44";"1";"2025-05-15 00:46:44"
"20541707345";"MINING SERVIS S.A.C";"CRISTOBAL DE PERALTA SUR NRO. 1145 DPTO. 402 URB. VALLE HERMOSO-SANTIAGO DE SURCO-LIMA";"";"";"";"1";"2025-05-15 00:46:44";"1";"2025-05-15 00:46:44"
"20482011307";"SERVICIOS Y TRANSPORTES VIRGEN DE GUADALUPE SAC";"PJ. F. CISNEROS NRO. 336 URB. PALERMO LA LIBERTAD - TRUJILLO";"";"";"";"1";"2025-05-15 00:46:44";"1";"2025-05-15 00:46:44"
