name,ruc,address,phone,email,contact_name,contact_phone,contact_email,created_by,created_at,updated_by,updated_at
COMPAÑIA MINERA MINASPAMPA S.A.C.,20481509778,JR. DIEGO DE ALMAGRO NRO. 587 INT. 301 URB. CERCADO LA LIBERTAD - TRUJILLO - TRUJILLO,612780,,SANCHEZ MIRANDA ORLANDO,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CORPORACION PERUANA DE CENTROS MEDICOS S.A.C.,20477167561,AV. ESPAÑA Nº2335,,,CARLOS AGUIRRE,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CORPORACION SAN ANTONIO,20539818288,SAN ROMAN 270-HUAMACHUCO,,,GUILLERMO,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
Compañía Minera Aurífera Santa Rosa S.A.,0000000,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
PERFOR GKA E.I.R.L,20482674322,JR. ESTETE NRO. 577,,,JOSE SEVILLANO,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SERVICIOS Y TRANSPORTES VIRGEN DE GUADALUPE SAC,20482011307,PJ. F. CISNEROS NRO. 336 URB. PALERMO LA LIBERTAD - TRUJILLO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
DIAZ MARIÑOS CARLOS ALBERTO,10178827320,CAL. GRAU NRO. 439 INT. 309 TRUJILLO,4371165,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CIA MINERA AURIFERA SANTA ROSA S.A.,20109989992,AV. NICOLAS AYLLON NRO. 1928 -LIMA - ATE,6187900 / 3267004 / 3263040,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CAME S.A.,20202020202,VA2,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
AGRONEGOCIOS E INVERSIONES M & C S.A.C.,20477309969,CAL. MINERIA NRO. 157 URB. HUERTA GRANDE - TRUJILLO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
FAMEINDUZ SAC,20532650811,,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
HAUG S.A.,00000000000,000000000000,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
HERRERA  D K  P SRL,20110449721,AV CARLOS GONSALES 275 SAN MIGUEL,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
COMPAÑIA MINERA SAN SIMON S.A.,20474053351,AV. SEPARADORA INDUSTRIAL NRO. 821 URB. MIGUEL GRAU - ATE - LIMA,6180200,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
EMPRESA DE SERVICIOS MULTIPLES EL SAUCO S.A.,20481042586,AV. CARLOS MONGE NRO. 223 URB. CHIMU LA LIBERTAD - TRUJILLO - TRUJILLO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SAN MARTIN CONTRATISTAS GENERALES S.A.,20102078781,S/N,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CONTRATISTAS MINEROS E&S E.I.R.L. - CONTRAMIES EIRL,20492117758,AV. LOS RUISEÑORES NRO 465 DPTO.103 (EDIF.A) LIMA - LIMA - SANTA ANITA,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
COMPAÑIA MINERA QUIRUVILCA S.A.,20100120152,AV. MANUEL OLGUIN NRO. 501 INT. 501 - URB. HARA TYBER - SANTIAGO DE SURCO - LIMA,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
CONSMIN V&V S.A.C.,20532016364,JR. INDEPENDENCIA MZA. B LOTE. 8 A.H. FRATERNIDAD -  ANCASH - SANTA - CHIMBOTE,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
COMPAÑIA TUGSTENO MALAGA DE PERU S.A.C.,154654654641,1456546546,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
TRANSESCOR S.A.C.,20477455434,JR. AYACUCHO 513 INT. 307 - TRUJILLO,,,BONIFACIO ESCOBEDO RUIZ,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
M & CALERA SANTA S.A.C,20530738087,NRO. S/N CAS. ACO PURHUAY (KM.22.4 PARAJE CALI RUMI -AEROPUERTO) ANCASH - CARHUAZ - MARCARA,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
SHAHUINDO S.A.C,20505792042,CAL. ESQUILACHE NRO. 371 INT. 1402 (ENTRE CDRA 9 Y 10 AV. CAMINO REAL) LIMA - LIMA - SAN ISIDRO,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
NEO ANDINA,0000000002,MJHHHHHHGFF,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
M&A LA RETAMA E.I.R.L,20539730275,CASERIO LA ARENA,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
HIDROVIAS S.A.,00000,TALARA-PIURA,,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
ESTACION DE SERVICIOS LA ARENA E.I.R.L.,20539789326,SECTOR EL CENTRO Nº S/N CASERIO LA ARENA (A 200 MTS. DE COLEGIO LA ARENA),,,,,,1,2025-05-14 23:50:55.754198,1,2025-05-14 23:50:55.755187
